number,value,params_hidden_dig,params_par_ratio,params_learning_rate,state
0,0.576871981,6,0.610321109,0.00010276,COMPLETE
1,0.750362319,6,0.570803729,0.000315616,COMPLETE
2,0.720048309,8,0.555566747,0.00039389,COMPLETE
3,0.71884058,6,0.247661091,0.000259307,COMPLETE
4,0.583937198,6,0.763348405,0.000187078,COMPLETE
5,0.783152174,6,0.377976225,0.003035956,COMPLETE
6,0.612258454,7,0.620309745,0.00045067,COMPLETE
7,0.780917874,6,0.654588977,0.00033446,COMPLETE
8,0.698067633,8,0.705412849,0.003038345,COMPLETE
9,0.760990338,8,0.66018534,0.000187278,COMPLETE
