number,value,params_hidden_dig,params_par_ratio,params_learning_rate,state
0,0.616183575,8,0.465126741,0.000243037,COMPLETE
1,0.724637681,8,0.651692156,0.000576603,COMPLETE
2,0.783876812,7,0.6474987,0.001769322,COMPLETE
3,0.778925121,7,0.578018689,0.002225865,COMPLETE
4,0.745591787,6,0.48330548,0.000896478,COMPLETE
5,0.646497585,6,0.430183733,0.002653668,COMPLETE
6,0.676630435,8,0.769169949,0.000386861,COMPLETE
7,0.609359903,6,0.636892059,0.003834819,COMPLETE
8,0.751751208,6,0.398247301,0.001356574,COMPLETE
9,0.618538647,8,0.46216579,0.000262553,COMPLETE
